layer,check,ok,value,detail
usage,reach anthropic 2026-06-26 (2026-05) never exceeds its whole,True,0.0,0 rows where the part exceeds the whole
usage,usage matched to a valued task anthropic 2026-06-26 (2026-05),True,0.808317148359889,80.8% of usage share lands on tasks with a value
usage,reach openai 2026-06 (dollar allocation) never exceeds its whole,True,0.0,0 rows where the part exceeds the whole
usage,usage matched to a valued task openai 2026-06 (dollar allocation),True,1.0,100.0% of usage share lands on tasks with a value
usage,reach openai 2026-06 (equal allocation) never exceeds its whole,True,0.0,0 rows where the part exceeds the whole
usage,usage matched to a valued task openai 2026-06 (equal allocation),True,0.893680759039464,89.4% of usage share lands on tasks with a value
usage,"usage_share_on_bundle sums to one within ['platform', 'release']",True,1.1102230246251565e-16,largest deviation from one is 1.11e-16
usage,"reach share of bundle bill in [0.0, 1.000000001]",True,0.0,"0 values of reach share of bundle bill outside [0.0, 1.000000001]"
state,"share of bill exposed in [0.0, 1.0]",True,0.0,"0 values of share of bill exposed outside [0.0, 1.0]"
state,"unique key ['vintage', 'state_fips', 'measure']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'measure']"
state,"median state wage bill scored, anthropic_observed coverage at least 80%",True,0.9237160158896087,"92.4% of median state wage bill scored, anthropic_observed covered"
state,"median state wage bill scored, eloundou_beta coverage at least 80%",True,0.9440985775607275,"94.4% of median state wage bill scored, eloundou_beta covered"
state,"median state wage bill scored, felten_aioe coverage at least 80%",True,0.809569395264663,"81.0% of median state wage bill scored, felten_aioe covered"
state,"unique key ['state_fips', 'start', 'end', 'measure']",True,0.0,"0 duplicate rows on ['state_fips', 'start', 'end', 'measure']"
state,realised change cells 2022-2024 eloundou_beta,True,,"median exposed cells per state 173, median unexposed 422"
state,"unique key ['state_fips', 'start', 'end', 'measure']",True,0.0,"0 duplicate rows on ['state_fips', 'start', 'end', 'measure']"
state,realised change cells 2022-2024 felten_aioe,True,,"median exposed cells per state 163, median unexposed 363"
state,"unique key ['state_fips', 'start', 'end', 'measure']",True,0.0,"0 duplicate rows on ['state_fips', 'start', 'end', 'measure']"
state,realised change cells 2022-2024 anthropic_observed,True,,"median exposed cells per state 128, median unexposed 462"
btos,"share using AI in [0.0, 100.0]",True,0.0,"0 values of share using AI outside [0.0, 100.0]"
btos,cycles with a reference date coverage at least 99%,True,1.0,100.0% of cycles with a reference date covered
btos,"unique key ['state', 'series', 'cycle']",True,0.0,"0 duplicate rows on ['state', 'series', 'cycle']"
state,state abbreviations without a FIPS code,True,1.0,['XX']
state,"BTOS share using AI in [0.0, 100.0]",True,0.0,"0 values of BTOS share using AI outside [0.0, 100.0]"
state,"unique key ['state_fips', 'year']",True,0.0,"0 duplicate rows on ['state_fips', 'year']"
state,"BTOS share using AI in [0.0, 100.0]",True,0.0,"0 values of BTOS share using AI outside [0.0, 100.0]"
state,"unique key ['state_fips', 'year']",True,0.0,"0 duplicate rows on ['state_fips', 'year']"
aei,state usage shares sum to one 2025-09-15 within 2% of expected,True,9.606147934659859e-06,"actual 0.99999 against expected 1, gap 0.00%"
aei,state usage shares sum to one 2026-01-15 within 2% of expected,True,0.0,"actual 1 against expected 1, gap 0.00%"
aei,state usage shares sum to one 2026-03-24 within 2% of expected,True,0.0028420844350909302,"actual 1.00284 against expected 1, gap 0.28%"
state,state abbreviations without a FIPS code,True,0.0,[]
spine,CIP to SOC: source codes,True,2143.0,2143 distinct cip_code codes
spine,CIP to SOC: one-to-many,True,1517.0,1517 cip_code codes map to several soc_code
spine,"unique key ['cip_code', 'soc_code']",True,0.0,"0 duplicate rows on ['cip_code', 'soc_code']"
pipeline,unique key ['cip_code'],True,0.0,0 duplicate rows on ['cip_code']
pipeline,CIP codes scored on eloundou_beta coverage at least 80%,True,0.8898740083994401,89.0% of CIP codes scored on eloundou_beta covered
pipeline,CIP codes scored on felten_aioe coverage at least 80%,True,0.8688754083061129,86.9% of CIP codes scored on felten_aioe covered
acs,nonnegative person weight,True,0.0,0 negative values in person weight
acs,weighted persons,True,5717184.0,5.72 million in state 27
spine,O*NET-SOC prefix equals SOC within 0% of expected,True,0.0,"actual 1 against expected 1, gap 0.00%"
spine,O*NET-SOC to SOC: source codes,True,1016.0,1016 distinct onetsoc_code codes
spine,O*NET-SOC to SOC: one-to-many,True,0.0,0 onetsoc_code codes map to several soc_code
spine,"unique key ['onetsoc_code', 'soc_code']",True,0.0,"0 duplicate rows on ['onetsoc_code', 'soc_code']"
spine,Census to SOC: unmapped Census codes,True,2.0,"2 Census codes without a detailed SOC match: ['9830', '9920']"
spine,Census codes mapped to SOC coverage at least 97%,True,0.9894736842105263,98.9% of Census codes mapped to SOC covered
spine,Census to SOC: source codes,True,564.0,564 distinct census_code codes
spine,Census to SOC: one-to-many,True,134.0,134 census_code codes map to several soc_code
spine,"unique key ['census_code', 'soc_code']",True,0.0,"0 duplicate rows on ['census_code', 'soc_code']"
acs,graduates on an occupation that maps to SOC coverage at least 90%,True,0.981156169333606,98.1% of graduates on an occupation that maps to SOC covered
acs,field families with a CIP family coverage at least 95%,True,1.0,100.0% of field families with a CIP family covered
acs,link weights add to the graduates they came from within 0% of expected,True,0.0,"actual 1.21859e+06 against expected 1.21859e+06, gap 0.00%"
pipeline,unique key ['fod_code'],True,0.0,0 duplicate rows on ['fod_code']
ipeds,unique key ['unitid'],True,0.0,0 duplicate rows on ['unitid']
ipeds,nonnegative awards 2023,True,0.0,0 negative values in awards 2023
ipeds,"unique key ['unitid', 'cip_code', 'award_level']",True,0.0,"0 duplicate rows on ['unitid', 'cip_code', 'award_level']"
ipeds,first-major awards 2023,True,5297774.0,"5,297,774 awards over 5960 institutions"
ipeds,nonnegative awards 2024,True,0.0,0 negative values in awards 2024
ipeds,"unique key ['unitid', 'cip_code', 'award_level']",True,0.0,"0 duplicate rows on ['unitid', 'cip_code', 'award_level']"
ipeds,first-major awards 2024,True,5459862.0,"5,459,862 awards over 5869 institutions"
pipeline,awards with an institution state coverage at least 98%,True,0.9997512292479019,100.0% of awards with an institution state covered
pipeline,awards on a scored CIP coverage at least 80%,True,0.869505158940124,87.0% of awards on a scored CIP covered
pipeline,"share of awards in exposed fields in [0.0, 1.0]",True,0.0,"0 values of share of awards in exposed fields outside [0.0, 1.0]"
pipeline,nonnegative awards,True,0.0,0 negative values in awards
pipeline,Clearinghouse fields without a CIP mapping,True,0.0,0 labels unmapped: []
pipeline,nonnegative enrolment,True,0.0,0 negative values in enrolment
pipeline,"share of enrolment in exposed fields in [0.0, 1.0]",True,0.0,"0 values of share of enrolment in exposed fields outside [0.0, 1.0]"
capacity,nonnegative transition flow,True,0.0,0 negative values in transition flow
capacity,nonnegative transition flow se,True,0.0,0 negative values in transition flow se
capacity,"unique key ['year', 'age_band', 'origin', 'destination']",True,0.0,"0 duplicate rows on ['year', 'age_band', 'origin', 'destination']"
capacity,outflow to destinations with an exposure score coverage at least 80%,True,1.0,100.0% of outflow to destinations with an exposure score covered
capacity,"exit share in [0.0, 1.0]",True,0.0,"0 values of exit share outside [0.0, 1.0]"
capacity,nonnegative from_education,True,0.0,0 negative values in from_education
capacity,nonnegative from_other_occupations,True,0.0,0 negative values in from_other_occupations
capacity,nonnegative from_outside_work,True,0.0,0 negative values in from_outside_work
capacity,nonnegative stock,True,0.0,0 negative values in stock
capacity,"unique key ['year', 'occupation']",True,0.0,"0 duplicate rows on ['year', 'occupation']"
capacity,"education arrivals over stock in [0.0, 1.0]",True,0.0,"0 values of education arrivals over stock outside [0.0, 1.0]"
spine,O*NET-SOC prefix equals SOC within 0% of expected,True,0.0,"actual 1 against expected 1, gap 0.00%"
spine,O*NET-SOC to SOC: source codes,True,1016.0,1016 distinct onetsoc_code codes
spine,O*NET-SOC to SOC: one-to-many,True,0.0,0 onetsoc_code codes map to several soc_code
spine,"unique key ['onetsoc_code', 'soc_code']",True,0.0,"0 duplicate rows on ['onetsoc_code', 'soc_code']"
spine,Census to SOC: unmapped Census codes,True,2.0,"2 Census codes without a detailed SOC match: ['9830', '9920']"
spine,Census codes mapped to SOC coverage at least 97%,True,0.9894736842105263,98.9% of Census codes mapped to SOC covered
spine,Census to SOC: source codes,True,564.0,564 distinct census_code codes
spine,Census to SOC: one-to-many,True,134.0,134 census_code codes map to several soc_code
spine,"unique key ['census_code', 'soc_code']",True,0.0,"0 duplicate rows on ['census_code', 'soc_code']"
cps,census codes with an exposure score coverage at least 90%,True,0.9627659574468085,96.3% of census codes with an exposure score covered
cps,"month in sample 2025-04 in [1, 8]",True,0.0,"0 values of month in sample 2025-04 outside [1, 8]"
cps,"age 2025-04 in [0, 85]",True,0.0,"0 values of age 2025-04 outside [0, 85]"
cps,weighted civilian population 16+ 2025-04,True,52456886.0,52.5 million; the published figure is between 265 and 275 million
cps,"month in sample 2025-02 in [1, 8]",True,0.0,"0 values of month in sample 2025-02 outside [1, 8]"
cps,"age 2025-02 in [0, 85]",True,0.0,"0 values of age 2025-02 outside [0, 85]"
cps,weighted civilian population 16+ 2025-02,True,52249420.0,52.2 million; the published figure is between 265 and 275 million
cps,"month in sample 2025-01 in [1, 8]",True,0.0,"0 values of month in sample 2025-01 outside [1, 8]"
cps,"age 2025-01 in [0, 85]",True,0.0,"0 values of age 2025-01 outside [0, 85]"
cps,weighted civilian population 16+ 2025-01,True,52239600.0,52.2 million; the published figure is between 265 and 275 million
cps,"month in sample 2025-03 in [1, 8]",True,0.0,"0 values of month in sample 2025-03 outside [1, 8]"
cps,"age 2025-03 in [0, 85]",True,0.0,"0 values of age 2025-03 outside [0, 85]"
