vintage,state_fips,measure,cut,wage_bill_usd,share_of_bill_scored,share_of_bill_exposed,occupations
2023,06,eloundou_beta,0.4782608695652174,1365106231400.0,0.9403996038340844,0.430057102947617,787
2023,08,eloundou_beta,0.4782608695652174,199975399500.0,0.952748059893237,0.46465457783488295,705
2023,09,eloundou_beta,0.4782608695652174,119067326700.0,0.9492758990447713,0.39083611592154266,645
2023,10,eloundou_beta,0.4782608695652174,29480156600.0,0.9618933503222978,0.41135537646242076,494
2023,11,eloundou_beta,0.4782608695652174,71561998800.0,0.9738261489141078,0.5295936296536625,449
2023,12,eloundou_beta,0.4782608695652174,563707428600.0,0.9668979356075847,0.40270245468070165,746
2023,13,eloundou_beta,0.4782608695652174,284390400900.0,0.948266245437822,0.41782669023726676,734
2023,15,eloundou_beta,0.4782608695652174,37609900800.0,0.9536618453404695,0.3118954990524276,535
2023,16,eloundou_beta,0.4782608695652174,43403697400.0,0.9463825263881782,0.3416277488758244,619
2023,17,eloundou_beta,0.4782608695652174,395275549300.0,0.9534212532684981,0.36890956118788765,727
2023,18,eloundou_beta,0.4782608695652174,176732869200.0,0.939760214677712,0.3231153966667726,743
2023,19,eloundou_beta,0.4782608695652174,86422411100.0,0.9473727006443123,0.36186628337635846,708
2023,20,eloundou_beta,0.4782608695652174,78179745500.0,0.9470334704530344,0.380459403955754,644
2023,21,eloundou_beta,0.4782608695652174,103558452300.0,0.9358384762187103,0.3242935883756598,708
2023,22,eloundou_beta,0.4782608695652174,96773164300.0,0.937262995956411,0.31615926496203867,671
2023,23,eloundou_beta,0.4782608695652174,36104802100.0,0.946204820770919,0.3435923486925494,618
2023,24,eloundou_beta,0.4782608695652174,193368128500.0,0.9542656849988596,0.45627729295080277,711
2023,25,eloundou_beta,0.4782608695652174,281603147800.0,0.9522381081139321,0.429362589333418,670
2023,26,eloundou_beta,0.4782608695652174,262622929600.0,0.9406653515603765,0.38037367001087363,772
2023,27,eloundou_beta,0.4782608695652174,190783210800.0,0.9338877711140817,0.4047827377552657,718
2023,28,eloundou_beta,0.4782608695652174,52990929500.0,0.94783362877226,0.2896474546298539,651
2023,29,eloundou_beta,0.4782608695652174,162425804100.0,0.9454740541438391,0.36875606002546724,711
2023,30,eloundou_beta,0.4782608695652174,26828816100.0,0.9503819961701553,0.33773260471432637,597
2023,31,eloundou_beta,0.4782608695652174,57511090400.0,0.9605931137066391,0.3780804185412171,650
2023,32,eloundou_beta,0.4782608695652174,83678630400.0,0.9619863866701145,0.3071191957845585,639
2023,33,eloundou_beta,0.4782608695652174,43338541600.0,0.9517683423846455,0.40702320769137856,610
2023,34,eloundou_beta,0.4782608695652174,307662546000.0,0.9515166295217488,0.4322549379019962,718
2023,35,eloundou_beta,0.4782608695652174,46397417200.0,0.9457627115502455,0.36434213836738266,609
2023,36,eloundou_beta,0.4782608695652174,726467742000.0,0.9400765600683754,0.4244079971266279,759
2023,37,eloundou_beta,0.4782608695652174,283492937100.0,0.9579889579548894,0.4307913071001456,750
2023,38,eloundou_beta,0.4782608695652174,23887815000.0,0.9400540903385262,0.30253893617740796,529
2023,39,eloundou_beta,0.4782608695652174,326276368300.0,0.9465153535607745,0.3616520037751107,767
2023,40,eloundou_beta,0.4782608695652174,86901932700.0,0.9593665584839174,0.3555330106006253,684
2023,41,eloundou_beta,0.4782608695652174,128083902200.0,0.9378639894373861,0.3829245167333825,714
2023,42,eloundou_beta,0.4782608695652174,356278194000.0,0.945764667820226,0.37158748762778876,753
