vintage,soc_code,employment,wage,bill,basis
2012,39-6011,40980.0,23108.135675939484,946971400.0,sum of states
2012,39-6012,25670.0,29313.86053759252,752486800.0,sum of states
2012,39-9011,625430.0,21295.072190333052,13318577000.0,sum of states
2012,39-9031,234150.0,36897.25005338458,8639491100.0,sum of states
2012,39-9032,306200.0,25283.01894186806,7741660400.0,sum of states
2012,39-9041,83820.0,26467.052016225243,2218468300.0,sum of states
2012,39-9099,64180.0,23354.387659707074,1498884600.0,sum of states
2012,41-1011,1227120.0,40779.50273811852,50041343400.0,sum of states
2012,41-1012,244860.0,82084.2269051703,20099143800.0,sum of states
2012,41-2011,3348400.0,20338.663570660614,68101981100.0,sum of states
2012,41-2012,18180.0,25421.358635863588,462160300.0,sum of states
2012,41-2021,435110.0,26858.08761002965,11686222500.0,sum of states
2012,41-2022,219680.0,32253.754552075745,7085504800.0,sum of states
2012,41-2031,4383410.0,25247.16198119729,110668662300.0,sum of states
2012,41-3011,146320.0,57174.90021869874,8365831400.0,sum of states
2012,41-3021,338660.0,63276.321088997815,21429158900.0,sum of states
2012,41-3031,328300.0,101016.44319220225,33163698300.0,sum of states
2012,41-3041,65070.0,36919.55278930382,2402355300.0,sum of states
2012,41-3091,674360.0,60673.63544694229,40915872800.0,sum of states
2012,41-4011,365190.0,85557.69079109504,31244813100.0,sum of states
2012,41-4012,1423720.0,64067.89755008007,91214747100.0,sum of states
2012,41-9011,70910.0,28209.100267945283,2000307300.0,sum of states
2012,41-9012,560.0,41161.607142857145,23050500.0,sum of states
2012,41-9021,34070.0,78509.11652480188,2674805600.0,sum of states
2012,41-9022,162900.0,51914.39656230817,8456855200.0,sum of states
2012,41-9031,64400.0,99364.9301242236,6399101500.0,sum of states
2012,41-9041,246180.0,25467.099683158664,6269490600.0,sum of states
2012,41-9091,3420.0,27989.824561403508,95725200.0,sum of states
2012,41-9099,125650.0,33272.282530839635,4180662300.0,sum of states
2012,43-1011,1374260.0,52643.121752797866,72345336500.0,sum of states
2012,43-2011,125320.0,26757.963613150336,3353308000.0,sum of states
2012,43-2021,8080.0,33358.44059405941,269536200.0,sum of states
2012,43-2099,2060.0,42165.388349514564,86860700.0,sum of states
2012,43-3011,389610.0,34202.253022253026,13325539800.0,sum of states
2012,43-3021,495820.0,34403.98572062442,17058184200.0,sum of states
2012,43-3031,1615680.0,36564.77953555159,59076983000.0,sum of states
2012,43-3041,16980.0,26133.610129564193,443748700.0,sum of states
