cip_code,destinations,link,eloundou_beta,felten_aioe
13.1307,3,nces_crosswalk,0.34369173765358113,1.225162183422769
13.1308,6,nces_crosswalk,0.3431820029594912,1.168251274142202
13.1309,6,nces_crosswalk,0.3519018517965123,1.1104605343152982
13.1310,5,nces_crosswalk,0.4364955208293225,0.6546973068192433
13.1311,4,nces_crosswalk,0.3489528954560417,1.228178798227227
13.1312,4,nces_crosswalk,0.34891656257951326,1.201418081363708
13.1314,6,nces_crosswalk,0.2978012648491439,0.6440667053942266
13.1315,3,nces_crosswalk,0.34369173765358113,1.225162183422769
13.1316,10,nces_crosswalk,0.3505013974069973,1.2237658424871527
13.1317,3,nces_crosswalk,0.34369173765358113,1.225162183422769
13.1318,2,nces_crosswalk,0.338801842719821,1.2263234933246305
13.1319,4,nces_crosswalk,0.4247094410751057,0.46651420704415786
13.1320,4,nces_crosswalk,0.4247094410751057,0.46651420704415786
13.1321,4,nces_crosswalk,0.34680454974379776,1.2262100048719977
13.1322,4,nces_crosswalk,0.3470242300815884,1.2252324485448027
13.1323,4,nces_crosswalk,0.3446519814801483,1.2263928659030299
13.1324,4,nces_crosswalk,0.34891656257951326,1.201418081363708
13.1325,4,nces_crosswalk,0.3458960870399373,1.2263856729144489
13.1326,4,nces_crosswalk,0.3458960870399373,1.2263856729144489
13.1327,5,nces_crosswalk,0.3939270985995801,0.9884325317339634
13.1328,4,nces_crosswalk,0.3451429265173762,1.2274227049611313
13.1329,3,nces_crosswalk,0.3372081380088313,1.1897230548576545
13.1330,4,nces_crosswalk,0.3458960870399373,1.2263856729144489
13.1331,3,nces_crosswalk,0.34369173765358113,1.225162183422769
13.1332,4,nces_crosswalk,0.34395119286468256,1.2253406062499286
13.1333,3,nces_crosswalk,0.34114169918757764,1.2275771248526504
13.1334,1,nces_crosswalk,0.5333333333333333,
13.1335,2,nces_crosswalk,0.33328059190458714,1.1966660670527856
13.1337,4,nces_crosswalk,0.3444645417525117,1.2256188036309175
13.1338,4,nces_crosswalk,0.3255047381301713,1.0753556220056022
13.1339,4,nces_crosswalk,0.3255047381301713,1.0753556220056022
13.1399,2,nces_crosswalk,0.4791666666666667,1.2792278131943648
13.1401,6,nces_crosswalk,0.3074321660786804,0.9200180672310169
13.1402,6,nces_crosswalk,0.3074321660786804,0.9200180672310169
13.1499,6,nces_crosswalk,0.3074321660786804,0.9200180672310169
13.1501,3,nces_crosswalk,0.31666666666666665,
13.1502,2,nces_crosswalk,0.41025641025641024,1.348951
13.1599,5,nces_crosswalk,0.38400146234826266,
13.9999,2,nces_crosswalk,0.4791666666666667,1.2792278131943648
14.0101,3,nces_crosswalk,0.49045798669782004,0.8685729673420164
14.0102,1,nces_crosswalk,,
14.0103,1,nces_crosswalk,0.5279329608938548,0.787566
14.0201,3,nces_crosswalk,0.48629635835567475,1.003582770594687
14.0202,4,nces_crosswalk,0.47983010328306636,0.9832287172360981
14.0299,4,nces_crosswalk,0.47451964171862177,0.9397561794882877
14.0301,3,nces_crosswalk,0.46807196562835657,0.9166164832181978
14.0401,4,nces_crosswalk,0.4902175734902112,0.875017574378404
14.0501,3,nces_crosswalk,0.4791847118059223,0.9223434802014013
14.0601,4,nces_crosswalk,0.4684191034841559,0.9549260052567597
14.0701,3,nces_crosswalk,0.46779071514423076,0.9482670744318181
14.0702,5,nces_crosswalk,0.4947326509191584,0.896345453450942
14.0799,3,nces_crosswalk,0.46779071514423076,0.9482670744318181
14.0801,3,nces_crosswalk,0.47861038071451134,1.1309576458456005
14.0802,7,nces_crosswalk,0.4914170287092664,1.0820392735643611
14.0803,3,nces_crosswalk,0.47861038071451134,1.1309576458456005
14.0804,3,nces_crosswalk,0.47861038071451134,1.1309576458456005
14.0805,5,nces_crosswalk,0.49137036085908803,1.0764300766100539
14.0899,3,nces_crosswalk,0.47861038071451134,1.1309576458456005
14.0901,7,nces_crosswalk,0.8047994353372533,0.9677077213440494
14.0902,3,nces_crosswalk,0.519711026753792,0.9677077213440494
14.0903,5,nces_crosswalk,0.8217588497433964,0.916478173876329
14.0999,3,nces_crosswalk,0.540054956646403,0.916478173876329
14.1001,6,nces_crosswalk,0.5425726379901671,1.006875699250589
14.1003,3,nces_crosswalk,0.49045798669782004,0.8685729673420164
14.1004,4,nces_crosswalk,0.5125630970519238,0.8300942582209189
14.1099,4,nces_crosswalk,0.5200591243234811,0.9478757114782984
14.1101,4,nces_crosswalk,0.5050014176074361,0.9253707855526347
14.1201,5,nces_crosswalk,0.5059503234318119,0.978323110939454
14.1301,3,nces_crosswalk,0.49045798669782004,0.8685729673420164
14.1401,4,nces_crosswalk,0.4789520747110033,0.9728479425418332
14.1801,4,nces_crosswalk,0.4826570522203206,1.1212319157471626
14.1901,5,nces_crosswalk,0.5035513957656064,1.1001005923793374
14.2001,3,nces_crosswalk,0.4689308406030962,0.9261873586304271
14.2101,3,nces_crosswalk,0.46838588616747723,0.9262950175912382
14.2201,3,nces_crosswalk,0.4667116228886078,0.9051439890058784
14.2301,3,nces_crosswalk,0.4728227765490736,0.937892158224865
14.2401,3,nces_crosswalk,0.49045798669782004,0.8685729673420164
14.2501,3,nces_crosswalk,0.47035159194515236,0.9379552294770093
14.2701,5,nces_crosswalk,0.5501071130034835,0.9947906374913498
14.2801,3,nces_crosswalk,0.4689308406030962,0.9261873586304271
