vintage,state_fips,soc_code,employment,wage,bill
2024,01,25-9099,240.0,46640.0,11193600.0
2024,01,27-1011,170.0,81740.0,13895800.0
2024,01,27-1012,100.0,35870.0,3587000.0
2024,01,27-1013,40.0,47000.0,1880000.0
2024,01,27-1014,70.0,68040.0,4762800.0
2024,01,27-1021,90.0,69750.0,6277500.0
2024,01,27-1023,550.0,32910.0,18100500.0
2024,01,27-1024,2010.0,53630.0,107796300.0
2024,01,27-1025,570.0,62790.0,35790300.0
2024,01,27-1026,3090.0,40130.0,124001700.0
2024,01,27-2012,1030.0,73690.0,75900700.0
2024,01,27-2021,370.0,93090.0,34443300.0
2024,01,27-2022,2580.0,61180.0,157844400.0
2024,01,27-2032,40.0,39430.0,1577200.0
2024,01,27-2041,90.0,43270.0,3894300.0
2024,01,27-3011,360.0,44490.0,16016400.0
2024,01,27-3023,510.0,50540.0,25775400.0
2024,01,27-3031,2240.0,69550.0,155792000.0
2024,01,27-3041,590.0,55100.0,32509000.0
2024,01,27-3042,830.0,84970.0,70525100.0
2024,01,27-3043,170.0,64040.0,10886800.0
2024,01,27-3091,360.0,49680.0,17884800.0
2024,01,27-3092,260.0,57070.0,14838200.0
2024,01,27-4011,400.0,48890.0,19556000.0
2024,01,27-4012,260.0,49170.0,12784200.0
2024,01,27-4014,50.0,67230.0,3361500.0
2024,01,27-4021,490.0,43360.0,21246400.0
2024,01,27-4031,120.0,58000.0,6960000.0
2024,01,27-4032,150.0,71600.0,10740000.0
2024,01,27-4099,40.0,100840.0,4033600.0
2024,01,29-1011,510.0,80630.0,41121300.0
2024,01,29-1022,110.0,393490.0,43283900.0
2024,01,29-1023,130.0,231680.0,30118400.0
2024,01,29-1029,30.0,230260.0,6907800.0
2024,01,29-1031,940.0,67720.0,63656800.0
2024,01,29-1041,470.0,125860.0,59154200.0
2024,01,29-1051,5880.0,129100.0,759108000.0
2024,01,29-1071,770.0,105970.0,81596900.0
2024,01,29-1081,100.0,146160.0,14616000.0
2024,01,29-1122,1390.0,95250.0,132397500.0
2024,01,29-1123,2750.0,97890.0,269197500.0
2024,01,29-1124,150.0,85670.0,12850500.0
2024,01,29-1125,200.0,56460.0,11292000.0
2024,01,29-1126,2250.0,65500.0,147375000.0
2024,01,29-1127,1840.0,77430.0,142471200.0
2024,01,29-1128,60.0,52520.0,3151200.0
2024,01,29-1129,40.0,84860.0,3394400.0
2024,01,29-1131,1150.0,112070.0,128880500.0
2024,01,29-1141,53340.0,74970.0,3998899800.0
2024,01,29-1151,1410.0,176970.0,249527700.0
2024,01,29-1171,4730.0,109650.0,518644500.0
2024,01,29-1181,290.0,77690.0,22530100.0
2024,01,29-1213,120.0,408680.0,49041600.0
2024,01,29-1215,380.0,212590.0,80784200.0
2024,01,29-1218,80.0,206010.0,16480800.0
2024,01,29-1221,330.0,234790.0,77480700.0
2024,01,29-1222,60.0,249030.0,14941800.0
2024,01,29-1229,3780.0,260290.0,983896200.0
2024,01,29-1242,240.0,309060.0,74174400.0
2024,01,29-1292,2840.0,57690.0,163839600.0
2024,01,29-1299,150.0,99720.0,14958000.0
2024,01,29-2010,6690.0,51440.0,344133600.0
2024,01,29-2031,1100.0,52580.0,57838000.0
2024,01,29-2032,1190.0,66820.0,79515800.0
2024,01,29-2033,340.0,79150.0,26911000.0
2024,01,29-2034,3740.0,58270.0,217929800.0
2024,01,29-2035,530.0,73070.0,38727100.0
2024,01,29-2042,2420.0,37680.0,91185600.0
2024,01,29-2043,1890.0,46810.0,88470900.0
2024,01,29-2052,8710.0,39440.0,343522400.0
2024,01,29-2053,2860.0,33690.0,96353400.0
2024,01,29-2055,2610.0,49440.0,129038400.0
2024,01,29-2056,2260.0,33310.0,75280600.0
2024,01,29-2057,1330.0,37730.0,50180900.0
2024,01,29-2061,10840.0,50760.0,550238400.0
2024,01,29-2072,2630.0,42830.0,112642900.0
2024,01,29-2081,920.0,36750.0,33810000.0
2024,01,29-2091,50.0,87660.0,4383000.0
2024,01,29-2099,1380.0,45110.0,62251800.0
2024,01,29-9021,30.0,52900.0,1587000.0
2024,01,29-9091,590.0,52940.0,31234600.0
2024,01,29-9093,250.0,41580.0,10395000.0
2024,01,29-9099,100.0,62500.0,6250000.0
2024,01,31-1120,21100.0,26800.0,565480000.0
2024,01,31-1131,24560.0,32670.0,802375200.0
2024,01,31-1132,490.0,31670.0,15518300.0
2024,01,31-1133,950.0,30910.0,29364500.0
2024,01,31-2011,520.0,64970.0,33784400.0
2024,01,31-2021,2550.0,61360.0,156468000.0
2024,01,31-2022,730.0,25940.0,18936200.0
2024,01,31-9011,510.0,53370.0,27218700.0
2024,01,31-9091,4450.0,39600.0,176220000.0
2024,01,31-9092,12760.0,34860.0,444813600.0
2024,01,31-9093,890.0,36040.0,32075600.0
2024,01,31-9094,720.0,33550.0,24156000.0
2024,01,31-9095,450.0,35120.0,15804000.0
2024,01,31-9096,1060.0,31240.0,33114400.0
2024,01,31-9097,2510.0,35760.0,89757600.0
2024,01,31-9099,880.0,40540.0,35675200.0
2024,01,33-1011,470.0,76060.0,35748200.0
2024,01,33-1012,1860.0,81590.0,151757400.0
2024,01,33-1021,1150.0,77100.0,88665000.0
2024,01,33-1091,1160.0,59740.0,69298400.0
2024,01,33-1099,110.0,69130.0,7604300.0
2024,01,33-2011,6930.0,49640.0,344005200.0
2024,01,33-2022,40.0,39520.0,1580800.0
2024,01,33-3011,90.0,37290.0,3356100.0
2024,01,33-3012,4730.0,49050.0,232006500.0
2024,01,33-3021,1290.0,77900.0,100491000.0
2024,01,33-3031,170.0,66410.0,11289700.0
2024,01,33-3041,50.0,38190.0,1909500.0
2024,01,33-3051,12060.0,55330.0,667279800.0
2024,01,33-9011,270.0,39430.0,10646100.0
2024,01,33-9021,580.0,51790.0,30038200.0
2024,01,33-9031,100.0,41930.0,4193000.0
2024,01,33-9032,15050.0,34640.0,521332000.0
2024,01,33-9091,340.0,29050.0,9877000.0
2024,01,33-9092,1050.0,26840.0,28182000.0
2024,01,33-9093,260.0,59850.0,15561000.0
2024,01,33-9094,120.0,27990.0,3358800.0
2024,01,35-1011,1280.0,63800.0,81664000.0
2024,01,35-1012,21260.0,38590.0,820423400.0
2024,01,35-2011,25580.0,26340.0,673777200.0
2024,01,35-2012,8970.0,26910.0,241382700.0
2024,01,35-2014,18370.0,31510.0,578838700.0
2024,01,35-2015,1280.0,28600.0,36608000.0
2024,01,35-2021,14540.0,26660.0,387636400.0
2024,01,35-3011,5850.0,27860.0,162981000.0
2024,01,35-3023,37500.0,25450.0,954375000.0
2024,01,35-3031,28540.0,24420.0,696946800.0
2024,01,35-3041,3260.0,27540.0,89780400.0
2024,01,35-9011,3700.0,23810.0,88097000.0
2024,01,35-9021,3800.0,26820.0,101916000.0
2024,01,35-9031,4290.0,24740.0,106134600.0
2024,01,37-1011,2560.0,45740.0,117094400.0
2024,01,37-1012,1940.0,52810.0,102451400.0
2024,01,37-2011,24960.0,30020.0,749299200.0
2024,01,37-2012,7960.0,26910.0,214203600.0
2024,01,37-2021,2410.0,42270.0,101870700.0
2024,01,37-3011,11930.0,34570.0,412420100.0
2024,01,37-3012,130.0,43820.0,5696600.0
2024,01,37-3013,1170.0,40240.0,47080800.0
2024,01,37-3019,50.0,53750.0,2687500.0
2024,01,39-1013,90.0,56710.0,5103900.0
2024,01,39-1014,1930.0,43370.0,83704100.0
2024,01,39-1022,1280.0,41790.0,53491200.0
2024,01,39-2011,220.0,52820.0,11620400.0
2024,01,39-2021,4170.0,30110.0,125558700.0
2024,01,39-3031,1080.0,23320.0,25185600.0
2024,01,39-3091,6690.0,23550.0,157549500.0
2024,01,39-3092,40.0,33430.0,1337200.0
2024,01,39-3093,50.0,25060.0,1253000.0
2024,01,39-4012,50.0,36840.0,1842000.0
