platform,release,bundle_id,bundle,usage_share_on_bundle,wage_bill_share_on_bundle,concentration,reach_usd_on_bundle,reach_share_of_bundle_bill
anthropic,2026-06-26 (2026-05),2.C.5,Health Services,0.007841995888521325,0.008689915658773785,0.9024248561726423,17490474841.490406,0.2029843954126712
anthropic,2026-06-26 (2026-05),2.C.6,Education and Training,0.007388036152669718,0.007076529492509395,1.0440196936210124,14959304043.50005,0.21319041838224206
anthropic,2026-06-26 (2026-05),2.C.7,Arts and Humanities,0.025417362328470024,0.023094883710640942,1.100562472923776,49206372684.96065,0.21487316730026712
anthropic,2026-06-26 (2026-05),2.C.8,Law and Public Safety,0.011459418316645053,0.012404120066777557,0.9238396802798825,25199033041.8505,0.20487762372648696
anthropic,2026-06-26 (2026-05),2.C.9,Communications,0.01240115626757233,0.010911340631389068,1.1365382757731395,24375731122.93569,0.22529738482757386
anthropic,2026-06-26 (2026-05),4.A.1,Information Input,0.011346964736122015,0.010949780138637987,1.0362732942995359,16985446562.073027,0.15644013570262877
anthropic,2026-06-26 (2026-05),4.A.2,Mental Processes,0.026026894685960596,0.01884688509575884,1.3809653188694555,65110096585.88373,0.34840579542778866
anthropic,2026-06-26 (2026-05),4.A.3,Work Output,0.10096719318070393,0.10442666279209352,0.966871778539192,191910011523.99982,0.1853373059829376
anthropic,2026-06-26 (2026-05),4.A.4,Interacting With Others,0.16952769166975246,0.17483586750862107,0.9696390911401125,379805194405.9275,0.21908214329013714
openai,2026-06 (dollar allocation),1.A.1,Cognitive Abilities,0.2219286579260754,0.18533835338524143,1.1974243532032354,1273268601207.1392,0.6928374314163838
openai,2026-06 (dollar allocation),1.A.2,Psychomotor Abilities,0.01571327749718944,0.036075229739033765,0.43556971392444144,132048056512.4566,0.3691471517256901
openai,2026-06 (dollar allocation),1.A.3,Physical Abilities,0.011565373846852854,0.03339455611856244,0.3463251257418036,142652898900.84045,0.43080579843955624
openai,2026-06 (dollar allocation),1.A.4,Sensory Abilities,0.0365084379641175,0.041981601521423315,0.8696294719839869,241263333211.5568,0.5795740542383787
openai,2026-06 (dollar allocation),2.A.1,Content,0.09184441996359835,0.0784580888627539,1.1706176035495977,549299577768.9579,0.706070641454898
openai,2026-06 (dollar allocation),2.A.2,Process,0.03694022704097553,0.033593715890568275,1.0996171772514993,206192375410.41888,0.6190007434421013
openai,2026-06 (dollar allocation),2.B.1,Social Skills,0.014494208658164559,0.02350941836566561,0.6165277435928684,138052703996.80878,0.5922153317398269
openai,2026-06 (dollar allocation),2.B.2,Complex Problem Solving Skills,0.006865729278497376,0.0036620040938396357,1.8748557081209085,27083734667.911327,0.7458754943848009
openai,2026-06 (dollar allocation),2.B.3,Technical Skills,0.054444720461841026,0.06297097473737243,0.8646002493832895,324416206066.74396,0.5195636258316432
openai,2026-06 (dollar allocation),2.B.4,Systems Skills,0.013071372998134798,0.006975006404167913,1.8740302503986237,59419844161.29338,0.8591391533090631
openai,2026-06 (dollar allocation),2.B.5,Resource Management Skills,0.0038352974454709424,0.00788471478073551,0.48642183669618727,40341590637.21599,0.5159928026579568
openai,2026-06 (dollar allocation),2.C.1,Business and Management,0.04244637688116214,0.04088972531240295,1.0380695041814578,257166303530.42224,0.6342733775283348
openai,2026-06 (dollar allocation),2.C.10,Transportation,0.004665237720999267,0.004863480852904913,0.9592384265711179,28853118859.252823,0.5983043605673748
openai,2026-06 (dollar allocation),2.C.2,Manufacturing and Production,0.008427774533044911,0.008916299431466632,0.9452099043805481,53627778199.74976,0.60657118227524
openai,2026-06 (dollar allocation),2.C.3,Engineering and Technology,0.026531853410698483,0.0259803340509516,1.0212283398152335,157554953598.0698,0.611595026384448
openai,2026-06 (dollar allocation),2.C.4,Mathematics and Science,0.034648606035167895,0.03427051135770753,1.0110326535111749,209486792936.9738,0.6164710366393207
openai,2026-06 (dollar allocation),2.C.5,Health Services,0.008114860857725377,0.008689915658773785,0.9338250423100708,52576298833.508934,0.6101702971745242
openai,2026-06 (dollar allocation),2.C.6,Education and Training,0.00747705145035791,0.007076529492509395,1.0565986417879658,43798197966.31565,0.624183860537567
