year,state,award_level,awards_unexposed,awards_exposed,share_exposed
2023,KY,3,4580.0,1300.0,0.22108843537414966
2023,KY,4,65.0,0.0,0.0
2023,KY,5,16052.0,6482.0,0.2876542114138635
2023,KY,6,1272.0,296.0,0.18877551020408162
2023,KY,7,10808.0,3521.0,0.24572545188080117
2023,KY,8,194.0,20.0,0.09345794392523364
2023,KY,17,641.0,293.0,0.31370449678800855
2023,KY,18,2015.0,2.0,0.0009915716410510659
2023,KY,19,184.0,0.0,0.0
2023,KY,20,9967.0,1900.0,0.16010786213870398
2023,KY,21,10674.0,5903.0,0.35609579537913977
2023,LA,2,7241.0,803.0,0.09982595723520636
2023,LA,3,3891.0,718.0,0.1557821653287047
2023,LA,4,224.0,9.0,0.03862660944206009
2023,LA,5,13510.0,7129.0,0.3454140219971898
2023,LA,6,218.0,36.0,0.14173228346456693
2023,LA,7,5176.0,5159.0,0.49917755200774067
2023,LA,8,222.0,231.0,0.5099337748344371
2023,LA,17,562.0,340.0,0.376940133037694
2023,LA,18,1979.0,0.0,0.0
2023,LA,19,0.0,0.0,
2023,LA,20,2546.0,781.0,0.23474601743312293
2023,LA,21,7776.0,1164.0,0.13020134228187918
2023,MA,2,2435.0,190.0,0.07238095238095238
2023,MA,3,4744.0,1861.0,0.2817562452687358
2023,MA,4,247.0,11.0,0.04263565891472868
2023,MA,5,31448.0,24712.0,0.44002849002849004
2023,MA,6,1412.0,1393.0,0.4966131907308378
2023,MA,7,23168.0,22856.0,0.496610464105684
2023,MA,8,683.0,58.0,0.07827260458839407
2023,MA,17,1965.0,1523.0,0.43663990825688076
2023,MA,18,5139.0,13.0,0.0025232919254658385
2023,MA,19,295.0,1.0,0.0033783783783783786
2023,MA,20,522.0,12.0,0.02247191011235955
2023,MA,21,3446.0,1191.0,0.256847099417727
2023,MD,2,2708.0,386.0,0.12475759534583064
2023,MD,3,5194.0,2880.0,0.3567005201882586
2023,MD,4,203.0,518.0,0.7184466019417476
2023,MD,5,16849.0,16920.0,0.5010512600313898
2023,MD,6,1517.0,1067.0,0.41292569659442724
2023,MD,7,8910.0,12131.0,0.5765410389240055
2023,MD,8,211.0,22.0,0.0944206008583691
2023,MD,17,1068.0,621.0,0.36767317939609234
2023,MD,18,1514.0,45.0,0.028864656831302116
2023,MD,20,12.0,4.0,0.25
2023,MD,21,2533.0,1196.0,0.3207294180745508
2023,ME,2,572.0,47.0,0.07592891760904685
2023,ME,3,1191.0,569.0,0.32329545454545455
2023,ME,5,4311.0,2605.0,0.3766628108733372
2023,ME,6,192.0,121.0,0.3865814696485623
2023,ME,7,2006.0,562.0,0.21884735202492211
2023,ME,8,119.0,9.0,0.0703125
2023,ME,17,100.0,25.0,0.2
2023,ME,18,471.0,0.0,0.0
2023,ME,20,68.0,0.0,0.0
2023,ME,21,629.0,177.0,0.2196029776674938
2023,MH,2,43.0,28.0,0.39436619718309857
2023,MH,3,41.0,49.0,0.5444444444444444
2023,MH,5,32.0,0.0,0.0
2023,MI,2,6875.0,633.0,0.08431006925945658
2023,MI,3,8374.0,4033.0,0.325058434754574
2023,MI,4,511.0,0.0,0.0
2023,MI,5,30629.0,22223.0,0.42047604631802016
2023,MI,6,378.0,455.0,0.5462184873949579
2023,MI,7,10508.0,8810.0,0.4560513510715395
2023,MI,8,411.0,261.0,0.38839285714285715
2023,MI,17,1287.0,1011.0,0.43994778067885115
2023,MI,18,3670.0,0.0,0.0
2023,MI,19,6.0,0.0,0.0
2023,MI,20,784.0,416.0,0.3466666666666667
2023,MI,21,5335.0,1694.0,0.24100156494522693
2023,MN,2,3980.0,608.0,0.13251961639058413
2023,MN,3,6723.0,2362.0,0.2599889928453495
2023,MN,4,970.0,40.0,0.039603960396039604
2023,MN,5,25531.0,12307.0,0.3252550346212802
2023,MN,6,1582.0,738.0,0.31810344827586207
2023,MN,7,19418.0,6093.0,0.23883814824977462
2023,MN,8,442.0,34.0,0.07142857142857142
2023,MN,17,2459.0,984.0,0.28579726982282894
2023,MN,18,2232.0,16.0,0.0071174377224199285
2023,MN,19,55.0,0.0,0.0
2023,MN,20,1151.0,12.0,0.010318142734307825
2023,MN,21,4115.0,2128.0,0.34086176517699823
2023,MO,2,4225.0,550.0,0.11518324607329843
2023,MO,3,5402.0,1556.0,0.22362747916067835
2023,MO,4,129.0,0.0,0.0
2023,MO,5,21226.0,10993.0,0.34119618858437567
2023,MO,6,1370.0,1168.0,0.46020488573680063
2023,MO,7,10308.0,10332.0,0.5005813953488372
2023,MO,8,977.0,67.0,0.06417624521072797
2023,MO,17,1305.0,470.0,0.2647887323943662
2023,MO,18,3590.0,0.0,0.0
2023,MO,19,157.0,0.0,0.0
2023,MO,20,147.0,9.0,0.057692307692307696
2023,MO,21,3340.0,2594.0,0.43714189416919447
2023,MP,2,71.0,0.0,0.0
2023,MP,3,68.0,29.0,0.29896907216494845
2023,MP,5,33.0,41.0,0.5540540540540541
2023,MP,20,19.0,0.0,0.0
2023,MP,21,0.0,0.0,
2023,MS,2,5869.0,1456.0,0.19877133105802047
2023,MS,3,5554.0,1710.0,0.23540748898678415
2023,MS,4,17.0,0.0,0.0
2023,MS,5,9708.0,4749.0,0.32849138825482466
2023,MS,6,87.0,74.0,0.45962732919254656
2023,MS,7,3875.0,2208.0,0.3629787933585402
2023,MS,8,199.0,29.0,0.12719298245614036
2023,MS,17,680.0,181.0,0.21022067363530778
2023,MS,18,883.0,0.0,0.0
2023,MS,19,3.0,0.0,0.0
2023,MS,20,202.0,0.0,0.0
2023,MS,21,1828.0,72.0,0.037894736842105266
2023,MT,2,562.0,138.0,0.19714285714285715
2023,MT,3,951.0,240.0,0.20151133501259447
2023,MT,4,117.0,119.0,0.5042372881355932
2023,MT,5,3777.0,1441.0,0.27615944806439247
2023,MT,6,372.0,59.0,0.1368909512761021
2023,MT,7,957.0,458.0,0.3236749116607774
2023,MT,8,14.0,0.0,0.0
2023,MT,17,86.0,53.0,0.381294964028777
2023,MT,18,580.0,0.0,0.0
2023,MT,20,17.0,0.0,0.0
2023,MT,21,246.0,58.0,0.19078947368421054
2023,NC,2,5552.0,2715.0,0.32841417684770774
2023,NC,3,11404.0,4201.0,0.2692085869913489
2023,NC,4,164.0,0.0,0.0
2023,NC,5,34202.0,20999.0,0.38040977518523217
2023,NC,6,1162.0,959.0,0.4521452145214521
2023,NC,7,12080.0,9382.0,0.43714472090205947
2023,NC,8,218.0,9.0,0.039647577092511016
2023,NC,17,1427.0,949.0,0.39941077441077444
2023,NC,18,3105.0,18.0,0.005763688760806916
2023,NC,19,88.0,0.0,0.0
2023,NC,20,317.0,0.0,0.0
2023,NC,21,14482.0,8059.0,0.35752628543542875
2023,ND,2,461.0,30.0,0.06109979633401222
2023,ND,3,1127.0,269.0,0.19269340974212035
2023,ND,4,133.0,0.0,0.0
2023,ND,5,3774.0,1831.0,0.32667261373773415
2023,ND,6,89.0,46.0,0.34074074074074073
2023,ND,7,1263.0,600.0,0.322061191626409
2023,ND,8,2.0,0.0,0.0
2023,ND,17,147.0,45.0,0.234375
2023,ND,18,452.0,0.0,0.0
2023,ND,19,25.0,0.0,0.0
2023,ND,20,97.0,0.0,0.0
2023,ND,21,623.0,319.0,0.3386411889596603
2023,NE,2,965.0,283.0,0.2267628205128205
2023,NE,3,2321.0,929.0,0.28584615384615386
2023,NE,4,319.0,48.0,0.1307901907356948
